year,source,target,weight,avg_streams,distance,distance_norm
2017,dance pop,tropical house,90,143039982.0,3.3455538749694824,0.37250615268379095
2017,pop rap,post-teen pop,90,113224356.43939394,6.3178911209106445,0.7056573963726586
2017,pop,southern hip hop,88,76635231.5,6.175060749053955,0.6896484067852295
2017,atl hip hop,hip hop,87,50119361.14583334,2.152492046356201,0.23878309264308067
2017,dance pop,post-teen pop,87,154026040.76190478,3.113837480545044,0.3465344682489184
2017,dance pop,trap,81,97060720.8076923,4.4095892906188965,0.49176742511735
2017,dance pop,edm,79,131937352.22807015,4.617435932159424,0.5150636938097188
2017,dance pop,hip hop,79,91671561.9245283,4.83318567276001,0.5392457729142306
2017,melodic rap,pop rap,76,69815024.8372093,3.3640730381011963,0.37458185329206894
2017,post-teen pop,rap,74,93519484.34545454,6.255392551422119,0.6986523110034564
2017,reggaeton,trap latino,74,85171536.13043478,0.3100821375846863,0.03227854699298931
2017,reggaeton,reggaeton flow,72,105325509.8181818,0.5666981935501099,0.0610410833815352
2017,latin hip hop,reggaeton,67,104814658.5,0.1315636783838272,0.012269496275275469
2017,atl hip hop,southern hip hop,66,43135903.1025641,1.2544959783554077,0.13813216304526899
2017,melodic rap,trap,62,83957351.93939394,1.882545828819275,0.20852645934067213
2017,electropop,pop,57,145717129.04545453,1.3771981000900269,0.15188509922872936
2017,edm,post-teen pop,56,150466525.92,4.483626365661621,0.5000657915504495
2017,hip hop,post-teen pop,56,102028954.90697674,6.856173038482666,0.7659901498444351
2017,atl hip hop,pop,55,97793136.45945944,6.041138172149658,0.674637837875322
2017,dance pop,southern hip hop,55,76423937.0,4.2474164962768555,0.4735904607768037
2017,post-teen pop,tropical house,54,161958573.64583334,2.681640386581421,0.2980921188589509
2017,electro house,pop,54,102672549.53488372,4.470213890075684,0.49856246855824754
2017,hip hop,melodic rap,52,74714386.72413793,4.101739883422852,0.4572624533089547
2017,trap latino,tropical,47,94851526.11111107,5.3718953132629395,0.5996264672536126
2017,post-teen pop,trap,45,120466913.77777778,6.342065811157227,0.7083669906935721
2017,latin hip hop,tropical,44,172474535.78947368,5.288719654083252,0.5903038123838822
2017,pop rap,tropical house,43,108162725.6,6.076180934906006,0.6785655684888361
2017,edm,tropical house,43,118355595.81481482,2.441877841949463,0.27121859027695044
2017,edm,pop rap,41,111136396.03333332,7.124866008758545,0.7961063142669285
2017,dance pop,electro house,41,116810930.06060606,4.67236328125,0.5212201670319435
2017,reggaeton flow,tropical,41,104517406.46666668,5.228826522827148,0.5835907547745417
2017,pop,uk dance,40,110718296.56666666,3.5948879718780518,0.4004524984736437
2017,rap,urban contemporary,40,69186434.23076923,2.7670226097106934,0.3076620940908263
2017,melodic rap,southern hip hop,38,54770998.76923077,3.240119218826294,0.360688621927489
2017,melodic rap,pop,38,106988784.1818182,7.239116668701172,0.8089119773874698
2017,reggaeton flow,trap latino,38,88791236.07142857,0.2923172414302826,0.030287387592781625
2017,pop rap,urban contemporary,38,97129248.17391305,2.815795660018921,0.3131287693111009
2017,canadian pop,rap,38,64068114.0,5.072595596313477,0.5660797783394927
2017,r&b,rap,37,57280424.52173913,2.1721227169036865,0.24098337537219283
2017,canadian pop,pop rap,35,78056780.4090909,5.135067939758301,0.5730819241906144
2017,latin hip hop,trap latino,34,98018414.35714284,0.23845121264457703,0.024249871322700407
2017,gangster rap,pop rap,32,25917593.41176471,0.946644127368927,0.10362691732723438
2017,gangster rap,rap,32,22164596.23529412,1.0974823236465454,0.12053345535695997
2017,dirty south rap,pop rap,32,76971174.39130434,0.11315350234508514,0.010206011368839208
2017,hip hop,urban contemporary,32,86062692.52,3.310289144515991,0.36855354305815835
2017,atl hip hop,dance pop,32,111491642.1153846,4.171387672424316,0.46506885130692843
2017,pop rap,r&b,32,88583771.11764705,2.2231035232543945,0.2466975045690706
2017,atl hip hop,melodic rap,31,83026853.27272727,2.0951173305511475,0.23235230893815267
2017,canadian pop,trap,31,52477223.76190476,5.159708023071289,0.5758436815960128
2017,pop,urban contemporary,31,127571946.26315787,3.9111056327819824,0.4358954170557751
2017,hip hop,r&b,30,59562222.0,2.72749400138855,0.3032315722710715
2017,house,pop,29,67444155.80952379,6.116458415985107,0.6830800269112378
2017,dirty south rap,rap,29,81485633.55,0.14029273390769958,0.01324788313496926
2017,dance pop,uk dance,28,116215198.85714284,3.8426332473754883,0.4282207629135955
