source,target,weight,avg_streams,hyperbolic_distance
panamanian pop,trap argentino,11,103782961.0,4.619304656982422
r&b en espanol,tropical,11,73462408.57142857,6.603587627410889
conscious hip hop,underground hip hop,11,9326130.0,3.3794119358062744
house,post-teen pop,11,62280170.57142858,6.1907196044921875
edm,house,11,34709319.28571428,6.801046848297119
house,tropical house,11,34709319.28571428,5.8241777420043945
big room,tropical house,11,36109390.333333336,2.6709632873535156
colombian pop,reggaeton flow,11,81782920.33333333,2.297328233718872
dirty south rap,hip hop,11,63365051.0,0.8478408455848694
chicago rap,pop,11,46809986.0,7.2918782234191895
chicago rap,pop rap,11,33986279.3,2.8139703273773193
r&b,trap,11,21016992.125,2.4300618171691895
italian hip hop,italian underground hip hop,11,7977814.5,2.101722002029419
chicago rap,rap,11,35975076.5,2.6674013137817383
dance pop,southern hip hop,11,20780324.875,4.2474164962768555
hip hop,urban contemporary,11,20793240.71428572,3.310289144515991
dance pop,tropical,11,78336833.5,3.430210590362549
dirty south rap,trap,11,26034912.125,1.7164281606674194
trap argentino,trap latino,10,80553345.5,4.629881858825684
panamanian pop,reggaeton flow,10,142436640.22222218,2.314446449279785
electronic trap,rap,10,120397616.42857143,6.876603603363037
hip hop,sudanese pop,10,5867561.0,2.9232733249664307
canadian hip hop,hip hop,10,98398457.0,3.5961050987243652
hip hop,toronto rap,10,100173635.3,4.198275089263916
argentine hip hop,trap argentino,10,113810181.66666669,1.9041070938110352
canadian pop,dance pop,10,172933030.9,1.9635288715362549
canadian hip hop,pop,10,44799470.0,7.143291473388672
atl hip hop,underground hip hop,10,7314013.0,0.649828314781189
southern hip hop,underground hip hop,10,19857791.6,1.8995962142944336
latin pop,trap latino,10,181791079.3333333,4.979231834411621
pop rap,reggaeton flow,10,63355041.0,3.0749449729919434
atl hip hop,dance pop,10,40473538.625,4.171387672424316
trap,urban contemporary,10,19640921.14285714,3.025520086288452
indie poptimism,pop,10,122288855.625,0.9972250461578369
pop,progressive electro house,10,111491627.88888893,4.511877059936523
