source,target,weight,avg_streams,hyperbolic_distance
chicago rap,trap,13,46205179.58333334,0.7652481198310852
german hip hop,hamburg hip hop,13,8088411.5,1.463024377822876
trap argentino,tropical,12,64997961.25,4.773218154907227
house,uk dance,12,46042418.16666666,3.0754945278167725
edm,uk dance,12,35775976.6,0.7831180095672607
edm,electro house,12,43781120.27272727,0.02923065796494484
chicago rap,melodic rap,12,56538159.90909091,3.3366315364837646
australian pop,pop,12,77706060.83333333,0.7743344306945801
reggaeton flow,trap argentino,12,88293326.57142857,3.3399744033813477
pop rap,trap latino,12,145157630.33333334,4.346060276031494
hip hop,queens hip hop,12,24868307.8,0.6724464893341064
queens hip hop,underground hip hop,12,5867561.0,3.107692003250122
sudanese pop,underground hip hop,12,5867561.0,1.6468552350997925
emo rap,rap,12,69944819.6,5.905231475830078
gangster rap,pop rap,12,74400326.41666667,1.2888975143432617
latin pop,tropical,12,135272003.4,4.340662956237793
argentine hip hop,reggaeton,12,80173669.8,4.03209114074707
hip hop,r&b,12,57511679.875,2.3654558658599854
italian hip hop,trap italiana,12,7977814.5,1.4505139589309692
modern rock,pop,12,129204282.33333331,2.88482928276062
rap,uk pop,12,75270340.0,5.263820171356201
post-teen pop,southern hip hop,12,40353195.09090909,4.224428653717041
pop,urban contemporary,12,43342222.63636363,2.4067368507385254
miami hip hop,underground hip hop,12,5421875.0,1.340338110923767
perreo,reggaeton flow,12,22441274.666666668,2.7596988677978516
panamanian pop,trap argentino,11,103782961.0,4.099147319793701
r&b en espanol,tropical,11,73462408.57142857,5.1151323318481445
conscious hip hop,underground hip hop,11,9326130.0,3.0366666316986084
house,post-teen pop,11,62280170.57142858,4.608785152435303
edm,house,11,34709319.28571428,3.7824902534484863
house,tropical house,11,34709319.28571428,2.6726763248443604
big room,tropical house,11,36109390.333333336,3.49792742729187
colombian pop,reggaeton flow,11,81782920.33333333,0.3783531188964844
dirty south rap,hip hop,11,63365051.0,1.0461905002593994
chicago rap,pop,11,46809986.0,4.801845073699951
chicago rap,pop rap,11,33986279.3,1.936171531677246
r&b,trap,11,21016992.125,1.5578199625015259
italian hip hop,italian underground hip hop,11,7977814.5,0.8515450358390808
chicago rap,rap,11,35975076.5,1.8433893918991089
dance pop,southern hip hop,11,20780324.875,1.8841397762298584
hip hop,urban contemporary,11,20793240.71428572,2.4204483032226562
dance pop,tropical,11,78336833.5,3.6840240955352783
dirty south rap,trap,11,26034912.125,1.2660243511199951
trap argentino,trap latino,10,80553345.5,4.0458197593688965
panamanian pop,reggaeton flow,10,142436640.22222218,1.5072977542877197
electronic trap,rap,10,120397616.42857143,7.437870025634766
hip hop,sudanese pop,10,5867561.0,2.2214269638061523
canadian hip hop,hip hop,10,98398457.0,2.951231002807617
hip hop,toronto rap,10,100173635.3,4.252455234527588
argentine hip hop,trap argentino,10,113810181.66666669,2.6422739028930664
canadian pop,dance pop,10,172933030.9,2.5728328227996826
canadian hip hop,pop,10,44799470.0,4.565275192260742
atl hip hop,underground hip hop,10,7314013.0,0.47693493962287903
southern hip hop,underground hip hop,10,19857791.6,1.2969233989715576
latin pop,trap latino,10,181791079.3333333,3.5091805458068848
pop rap,reggaeton flow,10,63355041.0,3.5764360427856445
atl hip hop,dance pop,10,40473538.625,1.758225679397583
trap,urban contemporary,10,19640921.14285714,1.6652404069900513
indie poptimism,pop,10,122288855.625,0.7790173888206482
pop,progressive electro house,10,111491627.88888893,5.219076156616211
deep german hip hop,hamburg hip hop,10,4640455.0,1.9551178216934204
colombian pop,trap argentino,9,113695135.8,3.5934927463531494
pop reggaeton,trap argentino,9,113695135.8,3.6525826454162598
dance pop,r&b,9,63922371.375,0.5563554167747498
big room,edm,9,40003001.25,0.10476776212453842
detroit hip hop,pop rap,9,28766706.85714286,1.1117486953735352
detroit hip hop,rap,9,28766706.85714286,1.1142216920852661
bmore,dance pop,9,69108938.375,4.134110927581787
dance pop,moombahton,9,69108938.375,5.419769287109375
australian dance,pop,9,18314769.666666668,4.354742527008057
electronic trap,pop rap,9,105901198.375,7.4173431396484375
dance pop,trap latino,9,109051774.66666669,2.9194321632385254
pop,puerto rican pop,9,151890445.0,3.7562613487243652
pop,swedish pop,9,32959348.0,0.7753530740737915
swedish pop,tropical house,9,32959348.0,2.465892791748047
dance pop,swedish pop,9,11493748.666666664,3.0179054737091064
edm,trap,9,112576784.83333331,7.598955154418945
melodic rap,miami hip hop,9,17545547.57142857,3.2375497817993164
canadian hip hop,southern hip hop,9,114430116.33333331,1.8232609033584595
canadian pop,hip hop,9,127244345.42857143,4.991518020629883
southern hip hop,toronto rap,9,114430116.33333331,3.3693482875823975
philly rap,rap,9,75864811.14285715,1.2030762434005737
atl trap,melodic rap,9,95226910.875,1.4936752319335938
melodic rap,post-teen pop,9,73274056.88888891,4.346530437469482
contemporary country,post-teen pop,9,61628746.33333334,2.331008195877075
rap,reggaeton flow,9,63734858.8,3.623166799545288
rap latina,tropical,9,68184975.14285715,4.026743412017822
conscious hip hop,pop,9,34308562.428571425,5.286127090454102
atl hip hop,post-teen pop,9,55159742.77777778,4.00889253616333
dance pop,melodic rap,9,54220153.66666666,2.6338584423065186
post-teen pop,r&b,9,110118414.5,2.6615123748779297
melodic rap,underground hip hop,9,35764971.0,2.850832939147949
brostep,pop,9,118112021.25,5.249053955078125
hip hop,trap soul,9,5421875.0,5.266119956970215
reggaeton,tropical house,9,107988208.33333331,4.2928080558776855
r&b en espanol,trap latino,8,105012318.625,4.5465545654296875
conscious hip hop,southern hip hop,8,7542735.0,1.771980881690979
big room,uk dance,8,35775976.6,0.8879061937332153
electro house,uk dance,8,35775976.6,0.7985184192657471
detroit hip hop,hip hop,8,28766706.85714286,1.5194571018218994
pop reggaeton,reggaeton flow,8,118585107.42857143,0.46061328053474426
electronic trap,reggaeton,8,111056637.875,7.522941589355469
edm,swedish pop,8,27696137.0,5.777449607849121
canadian pop,southern hip hop,8,118320921.75,4.324657917022705
gangster rap,trap,8,33605324.875,2.469756603240967
latin pop,reggaeton flow,8,119557086.16666669,2.916962146759033
pop,toronto rap,8,49060660.25,4.150057792663574
atl hip hop,conscious hip hop,8,45414038.375,2.576517343521118
emo rap,pop rap,8,61162548.75,5.892714023590088
rap,rock,8,47366014.2,3.698624610900879
electropop,pop rap,8,99307355.0,4.587943077087402
colombian pop,latin hip hop,8,60094577.28571428,0.7590579986572266
alternative r&b,rap,8,19653451.25,3.3071253299713135
latin hip hop,pop,8,66238854.16666666,4.695677757263184
dirty south rap,pop,8,28761516.875,4.104079723358154
pop,progressive house,8,83021602.83333333,4.927844524383545
funk carioca,pop nacional,8,31064444.0,4.002664566040039
gangster rap,pop,8,41338415.85714286,4.8309550285339355
latin pop,pop,8,64901761.33333334,1.341111183166504
pop,reggaeton flow,8,57611782.4,4.0837016105651855
dance pop,pop edm,8,64071501.0,5.461971759796143
edm,pop edm,8,64071501.0,0.19793574512004852
pop edm,tropical house,8,64071501.0,3.225314140319824
pop,pop edm,8,75652010.66666667,4.959630966186523
panamanian pop,r&b en espanol,7,103782961.0,4.147991180419922
reggaeton,trap,7,93988654.66666669,4.775979995727539
canadian pop,electropop,7,84570187.75,1.7264777421951294
canadian pop,tropical house,7,103784964.75,2.8212430477142334
dance pop,disco house,7,15226280.25,5.291976451873779
dance pop,filter house,7,15226280.25,4.235347747802734
dance pop,vocal house,7,15226280.25,5.371310234069824
disco house,pop,7,15226280.25,5.050441741943359
filter house,pop,7,15226280.25,3.808619499206543
pop,vocal house,7,15226280.25,5.130519866943359
r&b en espanol,reggaeton flow,7,102051076.0,3.695378541946411
electronic trap,pop,7,115024401.75,5.038882255554199
big room,swedish pop,7,17460690.5,5.876715183258057
electronic trap,trap,7,96777995.0,7.502077579498291
emo rap,melodic rap,7,99079359.0,5.996462821960449
gangster rap,hip hop,7,106728975.85714284,0.2474077045917511
atl trap,southern hip hop,7,27011174.0,4.322450160980225
atl hip hop,dfw rap,7,168894725.85714287,0.6701456308364868
melodic rap,philly rap,7,14199597.857142854,4.509860992431641
dfw rap,southern hip hop,7,56597494.85714286,1.517406702041626
electro house,uk pop,7,100041380.57142857,6.6312127113342285
dfw rap,pop,7,52220169.85714286,3.985560178756714
colombian pop,trap latino,7,104834815.5,0.7252421975135803
rap latina,trap argentino,7,97441723.4,2.5118906497955322
conscious hip hop,melodic rap,7,78805564.14285715,4.787686824798584
queens hip hop,trap,7,21268058.83333333,2.9459314346313477
reggaeton flow,trap,7,63734858.8,3.9581222534179688
trap,trap latino,7,63734858.8,4.694817066192627
pop,trap soul,7,39262282.8,4.167018413543701
pop rap,trap soul,7,41836168.25,4.5034308433532715
post-teen pop,tropical,7,85537810.0,5.659304141998291
country road,pop,7,62875067.16666666,2.2804622650146484
latin viral pop,reggaeton,7,53183008.66666666,2.356661796569824
miami hip hop,pop,7,32124897.71428572,3.9666738510131836
italian hip hop,rap napoletano,7,7659438.5,0.9301777482032776
funk carioca,reggaeton,7,26373429.66666667,2.2178890705108643
funk carioca,funk das antigas,7,19217106.0,1.5611077547073364
dance pop,progressive electro house,7,55439700.5,5.718338966369629
dance pop,latin pop,7,64901761.33333334,0.9303368330001831
pop,queens hip hop,7,32921274.2,5.341774940490723
contemporary country,dance pop,7,57413498.83333334,4.719860553741455
edm,tropical,7,66335206.0,8.448614120483398
boy band,electropop,6,48402879.83333334,0.6813551187515259
boy band,pop,6,48402879.83333334,0.19061242043972015
electropop,melodic dubstep,6,67178082.66666667,4.349847316741943
melodic dubstep,pop,6,67178082.66666667,3.994574546813965
big room,post-teen pop,6,37785280.66666666,5.373257637023926
disco house,uk dance,6,18573019.666666668,3.7830865383148193
filter house,uk dance,6,18573019.666666668,1.1010842323303223
uk dance,vocal house,6,18573019.666666668,3.866431474685669
dmv rap,hip hop,6,27553537.83333333,5.337533950805664
dmv rap,rap,6,27553537.83333333,4.486433506011963
bmore,post-teen pop,6,69667117.16666667,4.048786640167236
moombahton,post-teen pop,6,69667117.16666667,5.078885078430176
post-teen pop,trap latino,6,109051774.66666669,4.798863887786865
dance pop,puerto rican pop,6,151890445.0,1.6357779502868652
latin hip hop,trap argentino,6,67947261.5,4.098292350769043
country,pop rap,6,280187925.3333333,4.455036640167236
philly rap,trap,6,15708345.5,2.274895668029785
dfw rap,hip hop,6,74978282.33333333,2.5938048362731934
cali rap,southern hip hop,6,57792000.2,1.213366150856018
pop,viral pop,6,253577394.16666663,1.8112788200378418
pop reggaeton,trap latino,6,212334583.8,1.4307488203048706
latin pop,trap argentino,6,109211027.25,1.7755489349365234
rap latina,reggaeton flow,6,116371962.75,2.6133759021759033
atl hip hop,atl trap,6,18910171.6,3.7715351581573486
atl trap,underground hip hop,6,6090404.0,3.9652135372161865
canadian contemporary r&b,pop,6,74617895.8,1.6633247137069702
canadian contemporary r&b,rap,6,14697600.25,5.224306106567383
dancehall,pop,6,19021904.166666668,5.098374843597412
nigerian hip hop,pop,6,23312695.0,5.014800548553467
nigerian pop,pop,6,23312695.0,4.895514965057373
italian underground hip hop,trap italiana,6,7977814.5,1.678929090499878
k-pop,pop,6,75243930.66666667,0.018399586901068687
k-pop,post-teen pop,6,60449255.0,0.1744931936264038
emo,pop,6,116764176.75,4.229080677032471
trap,uk pop,6,92382974.8,5.219790458679199
modern rock,pop rap,6,50315719.33333334,5.7692975997924805
dance pop,neo soul,6,79529553.5,2.7671868801116943
neo soul,pop,6,79529553.5,2.2209999561309814
pop,uk contemporary r&b,6,10902657.75,1.4470534324645996
uk dance,uk pop,6,104304708.5,6.029552936553955
electropop,trap,6,89238583.5,4.581225872039795
r&b,southern hip hop,6,28443577.5,1.6330511569976807
southern hip hop,urban contemporary,6,28443577.5,1.7121936082839966
german hip hop,german pop,6,18154004.5,4.960864543914795
electro house,reggaeton,6,92863601.75,7.646678447723389
dance pop,latin hip hop,6,71435928.0,2.9723384380340576
cali rap,melodic rap,6,44322955.5,4.506522178649902
indietronica,pop,6,70681921.4,2.235063076019287
french hip hop,pop urbaine,6,9705058.333333334,0.7958958148956299
alternative r&b,underground hip hop,6,5421875.0,3.1013853549957275
meme rap,underground hip hop,6,5421875.0,3.391627550125122
miami hip hop,trap soul,6,5421875.0,4.396218299865723
trap,trap soul,6,5421875.0,4.192131519317627
funk carioca,pagode baiano,6,22681552.0,4.589253902435303
hip pop,pop,6,29554143.5,3.9648020267486572
pop,pop rock,6,198211664.3333333,2.2931642532348633
country,dance pop,6,33764321.8,2.773780107498169
country,pop,6,33764321.8,2.2966742515563965
tropical,tropical house,6,97289673.0,5.113062858581543
perreo,tropical,6,22312356.33333333,3.734013080596924
belgian edm,reggaeton,6,101939379.0,7.204192161560059
belgian edm,tropical,6,101939379.0,8.03309154510498
colombian pop,r&b en espanol,5,113695135.8,4.007788181304932
pop reggaeton,r&b en espanol,5,113695135.8,3.918642282485962
colombian pop,panamanian pop,5,113695135.8,1.8556467294692993
panamanian pop,pop reggaeton,5,113695135.8,1.2122911214828491
boy band,tropical house,5,53285349.4,1.6139729022979736
r&b,tropical house,5,88241471.6,2.6823785305023193
atl trap,conscious hip hop,5,66226423.4,5.784431457519531
big room,house,5,20991491.2,3.887000560760498
electro house,house,5,20991491.2,3.804990530014038
g funk,hip hop,5,38142013.0,1.1376289129257202
g funk,pop rap,5,38142013.0,1.8448944091796875
g funk,rap,5,38142013.0,1.951354742050171
australian pop,post-teen pop,5,87213422.6,0.6263611316680908
big room,electropop,5,12807777.6,5.61104679107666
edm,europop,5,83171166.0,4.347566604614258
europop,tropical house,5,83171166.0,0.951732337474823
pop,uk hip hop,5,23301229.6,5.134570598602295
uk hip hop,uk pop,5,23301229.6,6.310064792633057
pop house,uk dance,5,169524174.33333334,0.3871081471443176
canadian pop,dirty south rap,5,77745784.2,4.359532356262207
latin hip hop,r&b en espanol,5,80387347.8,4.596657752990723
latin arena pop,reggaeton,5,75626716.25,5.379186153411865
mexican pop,reggaeton,5,75626716.25,4.257453918457031
chicago rap,post-teen pop,5,41837063.8,4.9491143226623535
electropop,melodic rap,5,54853220.2,4.712887287139893
post-teen pop,viral pop,5,300239034.8,1.7109140157699585
argentine hip hop,reggaeton flow,5,110096939.33333331,3.1029868125915527
canadian hip hop,dance pop,5,81239490.8,2.5319392681121826
alternative r&b,electropop,5,238510005.5,3.7822518348693848
alternative r&b,tropical house,5,140187295.75,3.782853126525879
pop rap,queens hip hop,5,19487935.5,1.7461585998535156
italian hip hop,rap sardegna,5,5278131.5,2.8070034980773926
edm,moombahton,5,64589364.66666666,0.6866833567619324
electro house,electropop,5,38058608.6,5.538507461547852
moombahton,tropical house,5,131295853.66666669,3.1909868717193604
latin hip hop,latin pop,5,71426917.8,3.56288743019104
latin hip hop,rap latina,5,86597385.5,3.5382022857666016
dance pop,k-pop,5,81256634.4,2.2306180000305176
k-pop boy group,pop,5,70406639.6,0.7653531432151794
k-pop boy group,post-teen pop,5,70406639.6,0.9179623126983643
hip hop,uk pop,5,60113932.0,5.895354747772217
melodic rap,uk pop,5,69401083.6,5.277990818023682
rap latina,trap latino,5,60721698.4,3.4886281490325928
canadian pop,post-teen pop,5,267655889.0,1.424824833869934
neo soul,tropical house,5,103766452.0,3.3790173530578613
dance pop,uk contemporary r&b,5,11563038.333333336,2.957679033279419
tropical house,uk contemporary r&b,5,11563038.333333336,3.0388545989990234
uk contemporary r&b,uk pop,5,12669167.0,1.1656955480575562
neo soul,pop rap,5,10144711.75,4.457794189453125
indie poptimism,pop rap,5,112056536.2,4.857349395751953
electro house,tropical,5,92863601.75,8.474713325500488
bachata,reggaeton flow,5,104536193.66666669,1.7377091646194458
pop rap,rock,5,14954973.75,3.6907687187194824
alternative r&b,dance pop,5,113900035.6,2.1447041034698486
alternative r&b,post-teen pop,5,131817835.25,3.414405345916748
latin viral pop,tropical,5,53183008.66666666,2.9662106037139893
atl hip hop,dirty south rap,5,6670224.5,0.9791983962059021
modern alternative rock,pop,5,31876174.33333333,4.541711807250977
pop,rock,5,15405051.25,1.1449671983718872
brostep,pop rap,5,38846675.0,7.632498741149902
alternative r&b,pop rap,5,110063213.4,3.320558786392212
melodic rap,trap soul,5,79381648.0,3.1812570095062256
meme rap,rap,5,5421875.0,3.6634440422058105
funk das antigas,reggaeton,5,26373429.66666667,0.7428273558616638
pagode baiano,reggaeton,5,26373429.66666667,3.0023698806762695
brostep,dance pop,5,66552749.25,5.751908779144287
brostep,rap,5,23020754.0,7.653003215789795
electropop,reggaeton,5,117000060.66666669,5.230868339538574
dance pop,reggaeton flow,5,61951356.75,2.252859354019165
pop rap,tropical,5,66573665.0,5.008388519287109
chicago rap,southern hip hop,5,18665038.6,1.8426162004470825
country,post-teen pop,5,33764321.8,2.375932216644287
philly rap,pop rap,5,93020449.8,1.184829592704773
electro house,pop edm,5,64071501.0,0.22940194606781006
indie poptimism,tropical house,5,48371639.8,2.45500111579895
complextro,pop,5,60288627.4,5.109416484832764
chicago rap,hip hop,5,17039846.0,2.996370792388916
edm,latin pop,5,39232333.0,5.102113723754883
perreo,trap latino,5,23951044.0,2.1367290019989014
country road,dance pop,5,39864527.0,4.523067474365234
belgian edm,edm,5,101939379.0,0.7780216336250305
belgian edm,tropical house,5,101939379.0,2.9975080490112305
electro house,rap,5,46575746.0,7.561089515686035
edm,r&b,4,105298674.75,6.070768356323242
canadian pop,edm,4,103784964.75,6.200597286224365
disco house,edm,4,15226280.25,4.485829830169678
edm,filter house,4,15226280.25,1.8275073766708374
edm,vocal house,4,15226280.25,4.569106578826904
disco house,tropical house,4,15226280.25,3.2648818492889404
filter house,tropical house,4,15226280.25,2.0342531204223633
tropical house,vocal house,4,15226280.25,3.345121145248413
australian pop,edm,4,21278390.25,5.7656121253967285
australian pop,tropical house,4,21278390.25,2.455378532409668
dance pop,electronic trap,4,115024401.75,5.536778926849365
big room,europop,4,34719310.0,4.447593688964844
dance pop,europop,4,34719310.0,1.3373205661773682
europop,pop,4,34719310.0,1.2694536447525024
electropop,swedish pop,4,23439162.25,0.2734035551548004
grime,pop,4,23504334.25,5.12151575088501
grime,uk pop,4,23504334.25,6.296630859375
country,country rap,4,280187925.3333333,4.199418544769287
country road,pop rap,4,280187925.3333333,6.35865592956543
pop edm,uk pop,4,64341099.66666666,6.430309295654297
german hip hop,kosovan pop,4,6827331.0,3.048536777496338
atl hip hop,canadian hip hop,4,27334136.25,0.9775283336639404
atl hip hop,canadian pop,4,9175746.5,4.067620754241943
atl hip hop,toronto rap,4,27334136.25,2.793506383895874
latin pop,r&b en espanol,4,109211027.25,3.6543495655059814
r&b en espanol,rap latina,4,109211027.25,1.2090173959732056
argentine hip hop,r&b en espanol,4,162271994.0,0.6017551422119141
argentine hip hop,colombian pop,4,162271994.0,3.416776418685913
